Date,Day of Week,Visitor Type,Number of Visitors,Avg Stay Duration (hrs),Revenue Generated ($),Weather Condition
1/1/2024,Monday,One-day visit,270,4.4,3447.9,Snowy
1/1/2024,Monday,Camping,450,4.1,5674.5,Snowy
1/1/2024,Monday,RV Center,99,2.2,1030.59,Snowy
1/2/2024,Tuesday,One-day visit,290,2.6,2151.8,Snowy
1/2/2024,Tuesday,Camping,149,4.1,2872.72,Snowy
1/2/2024,Tuesday,RV Center,471,3.6,2552.82,Snowy
1/3/2024,Wednesday,One-day visit,298,1.7,5930.2,Snowy
1/3/2024,Wednesday,Camping,292,2.7,3731.76,Snowy
1/3/2024,Wednesday,RV Center,94,2.7,1113.9,Snowy
1/4/2024,Thursday,One-day visit,359,1.1,4440.83,Cloudy
1/4/2024,Thursday,Camping,498,2.8,3530.82,Cloudy
1/4/2024,Thursday,RV Center,71,4.1,1331.25,Cloudy
1/5/2024,Friday,One-day visit,358,3.4,2112.2,Sunny
1/5/2024,Friday,Camping,217,3.7,2794.96,Sunny
1/5/2024,Friday,RV Center,88,4.2,860.64,Sunny
1/6/2024,Saturday,One-day visit,467,4.4,6967.64,Cloudy
1/6/2024,Saturday,Camping,82,1.5,1465.34,Cloudy
1/6/2024,Saturday,RV Center,92,2.6,1437.04,Cloudy
1/7/2024,Sunday,One-day visit,427,1,4581.71,Snowy
1/7/2024,Sunday,Camping,410,4.6,6728.1,Snowy
1/7/2024,Sunday,RV Center,267,2.4,5326.65,Snowy
1/8/2024,Monday,One-day visit,395,3.7,6636,Rainy
1/8/2024,Monday,Camping,404,2.4,3458.24,Rainy
1/8/2024,Monday,RV Center,80,2,772.8,Rainy
1/9/2024,Tuesday,One-day visit,280,3.9,2690.8,Cloudy
1/9/2024,Tuesday,Camping,135,4.3,846.45,Cloudy
1/9/2024,Tuesday,RV Center,369,1.5,5166,Cloudy
1/10/2024,Wednesday,One-day visit,398,1.1,4787.94,Sunny
1/10/2024,Wednesday,Camping,259,1.1,3211.6,Sunny
1/10/2024,Wednesday,RV Center,453,1.6,4779.15,Sunny
1/11/2024,Thursday,One-day visit,111,3.2,1036.74,Cloudy
1/11/2024,Thursday,Camping,116,3.8,2284.04,Cloudy
1/11/2024,Thursday,RV Center,413,3.7,7541.38,Cloudy
1/12/2024,Friday,One-day visit,450,4.7,4207.5,Stormy
1/12/2024,Friday,Camping,441,2.8,3285.45,Stormy
1/12/2024,Friday,RV Center,295,1.3,1557.6,Stormy
1/13/2024,Saturday,One-day visit,156,3.8,2355.6,Cloudy
1/13/2024,Saturday,Camping,46,2.2,901.6,Cloudy
1/13/2024,Saturday,RV Center,211,1.9,3633.42,Cloudy
1/14/2024,Sunday,One-day visit,366,3.8,3480.66,Cloudy
1/14/2024,Sunday,Camping,209,2,1385.67,Cloudy
1/14/2024,Sunday,RV Center,295,1.2,2088.6,Cloudy
1/15/2024,Monday,One-day visit,475,3.1,8664,Stormy
1/15/2024,Monday,Camping,61,3.3,572.79,Stormy
1/15/2024,Monday,RV Center,84,3.2,1322.16,Stormy
1/16/2024,Tuesday,One-day visit,452,2,7385.68,Stormy
1/16/2024,Tuesday,Camping,302,2.3,4671.94,Stormy
1/16/2024,Tuesday,RV Center,15,1,291.45,Stormy
1/17/2024,Wednesday,One-day visit,72,1.6,1406.88,Cloudy
1/17/2024,Wednesday,Camping,332,1,5155.96,Cloudy
1/17/2024,Wednesday,RV Center,20,2.6,136.6,Cloudy
1/18/2024,Thursday,One-day visit,51,2.1,912.9,Sunny
1/18/2024,Thursday,Camping,324,2.1,2025,Sunny
1/18/2024,Thursday,RV Center,205,3.8,3458.35,Sunny
1/19/2024,Friday,One-day visit,186,4.3,2032.98,Rainy
1/19/2024,Friday,Camping,382,2.5,5852.24,Rainy
1/19/2024,Friday,RV Center,494,4,8847.54,Rainy
1/20/2024,Saturday,One-day visit,311,1.5,6039.62,Sunny
1/20/2024,Saturday,Camping,98,2.7,1130.92,Sunny
1/20/2024,Saturday,RV Center,214,1.3,1284,Sunny
1/21/2024,Sunday,One-day visit,35,2.4,584.15,Snowy
1/21/2024,Sunday,Camping,110,1.3,721.6,Snowy
1/21/2024,Sunday,RV Center,245,2.2,1849.75,Snowy
1/22/2024,Monday,One-day visit,270,4,5240.7,Snowy
1/22/2024,Monday,Camping,453,4.2,4566.24,Snowy
1/22/2024,Monday,RV Center,236,2.4,3948.28,Snowy
1/23/2024,Tuesday,One-day visit,77,4.9,596.75,Cloudy
1/23/2024,Tuesday,Camping,77,2.5,921.69,Cloudy
1/23/2024,Tuesday,RV Center,443,3.6,2728.88,Cloudy
1/24/2024,Wednesday,One-day visit,360,3,5479.2,Sunny
1/24/2024,Wednesday,Camping,75,2.3,1472.25,Sunny
